Service,Age,CustomerSince,Customer Gender,Region,SupportCallsLastYear,AverageBill,ChurnIndicator,Satisfaction Score,,
4G,79,1/10/2013 10:27,F,North,3,56,0.04,9,,
4G,29,1/10/2013 10:27,M,North,4,81,0.03,5,,
4G,65,1/10/2013 10:27,M,North,2,64,0.03,3,,
4G,72,1/10/2013 10:27,M,South,1,46,0.02,3,,
landline,73,1/10/2013 10:27,M,Central,1,38,0.01,4,,
4G,29,1/11/2013 10:27,F,North,0,37,0.03,9,,
landline,20,1/11/2013 10:27,M,South,4,43,0.02,4,,
landline,44,1/11/2013 10:27,F,Central,0,115,0.02,7,,
phone,51,1/11/2013 10:27,M,Central,0,48,0.01,7,,
phone,49,1/11/2013 10:27,F,North,0,78,0.01,9,,
fiber,53,1/12/2013 10:27,F,North,6,42,0.12,7,,
4G,60,1/12/2013 10:27,F,South,8,82,0.06,4,,
4G,22,1/12/2013 10:27,F,Central,4,64,0.04,8,,
4G,73,1/12/2013 10:27,F,Central,1,77,0.04,9,,
landline,29,1/12/2013 10:27,M,North,3,71,0.01,7,,
phone,54,1/12/2013 10:27,F,Central,0,65,0.01,10,,
fiber,23,1/13/2013 10:27,M,North,6,108,0.05,8,,
fiber,28,1/13/2013 10:27,M,South,0,50,0.02,4,,
phone,19,1/13/2013 10:27,F,North,1,101,0.01,8,,
4G,56,1/14/2013 10:27,F,North,2,53,0.14,5,,
phone,78,1/14/2013 10:27,M,Central,0,64,0.01,5,,
fiber,58,1/15/2013 10:27,M,Central,8,119,0.60,5,,
fiber,79,1/15/2013 10:27,F,South,2,44,0.05,4,,
4G,61,1/15/2013 10:27,F,Central,0,70,0.01,10,,
phone,18,1/15/2013 10:27,F,North,0,75,0.01,7,,
landline,70,1/15/2013 10:27,F,Central,1,98,0.00,4,,
phone,28,1/16/2013 10:27,F,North,6,110,0.02,5,,
fiber,30,1/16/2013 10:27,F,Central,0,100,0.01,6,,
landline,28,1/16/2013 10:27,F,Central,1,92,0.00,4,,
phone,26,1/16/2013 10:27,M,Central,0,97,0.00,6,,
landline,38,1/16/2013 10:27,F,South,0,60,0.00,5,,
fiber,68,1/17/2013 10:27,M,South,9,37,0.20,7,,
fiber,50,1/17/2013 10:27,M,Central,1,32,0.10,8,,
phone,49,1/17/2013 10:27,F,Central,9,44,0.08,8,,
4G,36,1/17/2013 10:27,M,Central,8,67,0.07,4,,
fiber,53,1/17/2013 10:27,F,Central,1,38,0.04,3,,
phone,39,1/17/2013 10:27,F,North,0,41,0.04,8,,
phone,24,1/17/2013 10:27,M,South,1,40,0.02,8,,
4G,59,1/17/2013 10:27,M,Central,2,105,0.02,7,,
4G,18,1/17/2013 10:27,M,South,0,65,0.01,3,,
fiber,28,1/18/2013 10:27,M,Central,2,105,0.13,2,,
phone,65,1/18/2013 10:27,M,Central,2,42,0.03,7,,
phone,45,1/18/2013 10:27,M,North,5,110,0.02,3,,
4G,34,1/18/2013 10:27,F,North,1,68,0.02,4,,
4G,22,1/18/2013 10:27,F,Central,0,41,0.01,6,,
fiber,80,1/19/2013 10:27,F,Central,3,49,0.06,5,,
phone,19,1/19/2013 10:27,F,South,4,59,0.06,6,,
phone,49,1/19/2013 10:27,F,Central,1,71,0.01,4,,
phone,54,1/19/2013 10:27,F,Central,1,90,0.01,4,,
4G,47,1/19/2013 10:27,M,North,0,89,0.01,4,,
phone,27,1/20/2013 10:27,M,Central,3,80,0.05,5,,
4G,41,1/20/2013 10:27,F,South,0,37,0.02,7,,
landline,63,1/20/2013 10:27,F,Central,6,98,0.01,3,,
fiber,70,1/21/2013 10:27,M,South,9,35,0.21,7,,
phone,55,1/21/2013 10:27,F,North,0,40,0.01,10,,
4G,55,1/21/2013 10:27,F,Central,0,61,0.01,5,,
phone,30,1/21/2013 10:27,M,Central,1,86,0.01,6,,
4G,47,1/21/2013 10:27,M,Central,0,73,0.01,4,,
phone,40,1/21/2013 10:27,M,Central,0,68,0.90,2,,
phone,22,1/22/2013 10:27,M,Central,5,38,0.06,5,,
phone,63,1/22/2013 10:27,M,South,7,71,0.04,5,,
landline,62,1/22/2013 10:27,F,Central,8,107,0.02,4,,
fiber,62,1/22/2013 10:27,M,Central,0,75,0.01,7,,
4G,66,1/23/2013 10:27,M,North,4,67,0.04,6,,
phone,60,1/23/2013 10:27,F,Central,5,80,0.03,5,,
4G,42,1/23/2013 10:27,M,South,0,58,0.02,7,,
4G,76,1/23/2013 10:27,M,Central,0,76,0.01,3,,
4G,43,1/23/2013 10:27,F,Central,0,101,0.01,5,,
phone,51,1/23/2013 10:27,F,Central,0,97,0.00,7,,
phone,18,1/24/2013 10:27,F,North,5,36,0.06,4,,
landline,43,1/24/2013 10:27,M,Central,5,32,0.04,5,,
4G,80,1/24/2013 10:27,F,South,0,50,0.03,4,,
fiber,23,1/24/2013 10:27,M,Central,1,78,0.02,3,,
4G,25,1/24/2013 10:27,F,South,2,94,0.02,8,,
landline,67,1/24/2013 10:27,F,Central,2,40,0.01,4,,
phone,38,1/24/2013 10:27,M,North,0,56,0.01,6,,
4G,74,1/25/2013 10:27,F,Central,3,33,0.07,6,,
4G,21,1/25/2013 10:27,M,North,0,51,0.03,6,,
phone,60,1/25/2013 10:27,M,South,2,65,0.02,7,,
landline,26,1/25/2013 10:27,M,North,1,103,0.00,7,,
4G,28,1/26/2013 10:27,M,Central,0,114,0.06,4,,
4G,57,1/26/2013 10:27,M,North,3,60,0.04,8,,
phone,49,1/26/2013 10:27,M,North,1,111,0.02,8,,
phone,28,1/26/2013 10:27,F,North,1,79,0.01,5,,
landline,63,1/26/2013 10:27,F,South,2,69,0.01,4,,
phone,62,1/26/2013 10:27,F,Central,1,106,0.01,7,,
4G,64,1/27/2013 10:27,M,South,0,42,0.03,4,,
phone,73,1/27/2013 10:27,F,Central,1,65,0.01,9,,
phone,19,1/28/2013 10:27,M,Central,9,91,0.04,3,,
4G,76,1/28/2013 10:27,M,North,3,60,0.04,4,,
4G,35,1/28/2013 10:27,M,South,1,41,0.03,5,,
fiber,79,1/28/2013 10:27,F,Central,0,35,0.02,4,,
fiber,23,1/28/2013 10:27,F,South,0,52,0.01,6,,
phone,59,1/28/2013 10:27,F,Central,2,100,0.01,9,,
phone,18,1/28/2013 10:27,F,South,0,53,0.01,3,,
fiber,61,1/29/2013 10:27,M,Central,1,53,0.05,5,,
landline,31,1/29/2013 10:27,M,Central,6,58,0.02,5,,
phone,64,1/29/2013 10:27,M,North,0,98,0.00,3,,
phone,62,1/30/2013 10:27,M,South,3,81,0.10,8,,
4G,74,1/30/2013 10:27,F,Central,7,95,0.05,6,,
fiber,28,1/30/2013 10:27,M,Central,4,94,0.04,7,,
4G,65,1/30/2013 10:27,F,South,2,69,0.02,5,,
4G,43,1/30/2013 10:27,F,Central,3,108,0.02,10,,
landline,34,1/30/2013 10:27,M,Central,1,37,0.92,2,,
4G,40,1/31/2013 10:27,M,North,2,47,0.04,6,,
phone,29,1/31/2013 10:27,F,North,0,32,0.01,8,,
phone,49,1/31/2013 10:27,F,North,0,54,0.01,5,,
landline,42,2/1/2013 10:27,F,South,6,87,0.02,5,,
4G,73,2/2/2013 10:27,F,Central,0,31,0.02,4,,
fiber,67,2/2/2013 10:27,M,Central,0,43,0.02,3,,
4G,53,2/2/2013 10:27,F,North,1,93,0.01,5,,
4G,31,2/3/2013 10:27,F,Central,6,48,0.08,7,,
fiber,76,2/3/2013 10:27,F,North,0,40,0.02,8,,
landline,43,2/3/2013 10:27,F,Central,0,45,0.00,6,,
4G,60,2/4/2013 10:27,M,Central,0,117,0.03,7,,
4G,31,2/4/2013 10:27,F,Central,0,55,0.01,7,,
fiber,25,2/4/2013 10:27,M,Central,0,96,0.01,5,,
4G,34,2/4/2013 10:27,F,South,0,105,0.71,2,,
phone,79,2/4/2013 10:27,F,Central,0,105,0.00,5,,
phone,76,2/5/2013 10:27,F,Central,3,105,0.01,7,,
landline,51,2/5/2013 10:27,F,South,4,72,0.01,7,,
4G,37,2/5/2013 10:27,M,North,0,41,0.01,4,,
landline,44,2/5/2013 10:27,M,Central,0,69,0.00,8,,
4G,42,2/6/2013 10:27,M,Central,2,51,0.10,4,,
fiber,51,2/6/2013 10:27,M,South,4,108,0.03,5,,
phone,32,2/6/2013 10:27,F,Central,1,31,0.02,7,,
phone,29,2/6/2013 10:27,M,Central,0,95,0.02,3,,
4G,48,2/6/2013 10:27,M,Central,0,101,0.01,6,,
phone,66,2/6/2013 10:27,M,South,0,100,0.00,8,,
4G,64,2/7/2013 10:27,F,North,6,57,0.07,8,,
phone,20,2/7/2013 10:27,F,Central,6,78,0.03,6,,
phone,45,2/8/2013 10:27,M,Central,3,34,0.04,7,,
4G,48,2/8/2013 10:27,M,Central,3,84,0.03,3,,
4G,47,2/8/2013 10:27,F,Central,2,69,0.02,5,,
fiber,29,2/8/2013 10:27,F,Central,0,64,0.01,6,,
4G,53,2/8/2013 10:27,F,Central,0,62,0.01,9,,
4G,58,2/8/2013 10:27,M,Central,0,92,0.01,4,,
phone,60,2/8/2013 10:27,F,North,0,107,0.00,10,,
fiber,65,2/9/2013 10:27,M,Central,3,77,0.04,6,,
fiber,34,2/9/2013 10:27,F,Central,1,56,0.03,6,,
landline,49,2/9/2013 10:27,F,Central,3,71,0.01,9,,
phone,63,2/9/2013 10:27,F,North,0,44,0.01,8,,
4G,80,2/10/2013 10:27,F,South,3,87,0.03,3,,
fiber,57,2/10/2013 10:27,F,South,0,87,0.01,9,,
4G,28,2/10/2013 10:27,F,Central,0,93,0.01,7,,
phone,49,2/11/2013 10:27,M,Central,9,83,0.04,7,,
4G,45,2/11/2013 10:27,F,Central,4,64,0.04,3,,
phone,26,2/11/2013 10:27,F,Central,4,58,0.03,4,,
4G,55,2/11/2013 10:27,M,Central,2,64,0.03,6,,
fiber,40,2/11/2013 10:27,F,North,1,101,0.01,7,,
phone,27,2/11/2013 10:27,F,Central,2,108,0.01,9,,
4G,33,2/11/2013 10:27,M,Central,0,109,0.01,4,,
landline,46,2/11/2013 10:27,M,Central,0,78,0.00,4,,
fiber,70,2/12/2013 10:27,M,Central,4,46,0.08,5,,
4G,56,2/12/2013 10:27,M,North,4,87,0.73,2,,
phone,62,2/12/2013 10:27,F,Central,1,47,0.02,8,,
phone,32,2/12/2013 10:27,F,Central,0,38,0.01,7,,
landline,38,2/12/2013 10:27,F,South,1,77,0.90,2,,
phone,56,2/12/2013 10:27,M,North,0,95,0.00,4,,
4G,54,2/13/2013 10:27,M,North,9,39,0.14,6,,
4G,79,2/13/2013 10:27,F,Central,4,107,0.03,5,,
phone,22,2/13/2013 10:27,M,Central,1,75,0.01,8,,
phone,43,2/13/2013 10:27,M,North,0,86,0.00,7,,
landline,73,2/13/2013 10:27,M,South,0,54,0.00,3,,
4G,34,2/14/2013 10:27,F,North,4,76,0.04,10,,
phone,79,2/14/2013 10:27,F,Central,2,50,0.02,5,,
4G,40,2/14/2013 10:27,F,South,1,77,0.81,2,,
4G,66,2/14/2013 10:27,M,North,0,87,0.01,7,,
fiber,33,2/15/2013 10:27,F,Central,8,88,0.07,7,,
4G,29,2/15/2013 10:27,M,South,3,48,0.05,7,,
phone,70,2/15/2013 10:27,F,South,4,63,0.03,8,,
fiber,50,2/15/2013 10:27,F,North,1,74,0.02,4,,
4G,22,2/15/2013 10:27,F,Central,1,82,0.01,8,,
phone,68,2/15/2013 10:27,M,South,0,43,0.01,3,,
landline,57,2/15/2013 10:27,F,North,3,101,0.01,7,,
fiber,42,2/15/2013 10:27,F,South,0,104,0.01,7,,
landline,23,2/15/2013 10:27,M,Central,0,37,0.01,5,,
fiber,42,2/16/2013 10:27,F,North,9,94,0.08,5,,
4G,63,2/16/2013 10:27,F,Central,6,52,0.07,4,,
4G,42,2/16/2013 10:27,F,North,1,116,0.04,6,,
fiber,36,2/16/2013 10:27,F,North,1,36,0.04,4,,
fiber,32,2/16/2013 10:27,M,North,0,108,0.03,3,,
4G,23,2/16/2013 10:27,F,North,2,69,0.02,6,,
4G,78,2/16/2013 10:27,F,Central,0,67,0.01,8,,
phone,72,2/16/2013 10:27,M,Central,1,96,0.01,5,,
landline,54,2/16/2013 10:27,M,North,0,93,0.00,9,,
4G,29,2/17/2013 10:27,M,North,9,38,0.14,4,,
4G,49,2/17/2013 10:27,F,North,1,105,0.05,5,,
landline,76,2/17/2013 10:27,M,Central,10,110,0.72,2,,
fiber,29,2/17/2013 10:27,M,Central,0,51,0.01,7,,
4G,79,2/17/2013 10:27,F,Central,1,93,0.01,6,,
landline,57,2/17/2013 10:27,M,North,2,69,0.01,8,,
phone,22,2/17/2013 10:27,M,South,0,108,0.00,7,,
landline,71,2/18/2013 10:27,M,Central,9,45,0.09,8,,
4G,67,2/18/2013 10:27,M,South,0,76,0.02,4,,
fiber,65,2/18/2013 10:27,F,North,0,97,0.01,5,,
phone,62,2/18/2013 10:27,M,Central,0,70,0.01,4,,
fiber,44,2/19/2013 10:27,M,South,5,50,0.09,5,,
phone,18,2/19/2013 10:27,M,Central,1,118,0.30,3,,
fiber,40,2/19/2013 10:27,M,South,0,95,0.01,7,,
phone,64,2/19/2013 10:27,M,South,0,82,0.00,4,,
landline,43,2/19/2013 10:27,F,North,1,105,0.00,4,,
4G,27,2/20/2013 10:27,M,Central,10,69,0.09,7,,
4G,19,2/21/2013 10:27,F,South,2,105,0.80,2,,
4G,68,2/21/2013 10:27,F,North,3,109,0.08,5,,
phone,38,2/21/2013 10:27,F,Central,2,70,0.06,4,,
phone,35,2/21/2013 10:27,F,Central,2,34,0.03,5,,
phone,29,2/21/2013 10:27,M,Central,0,96,0.01,6,,
landline,37,2/21/2013 10:27,F,Central,2,55,0.01,4,,
landline,58,2/21/2013 10:27,M,North,1,103,0.00,3,,
fiber,51,2/22/2013 10:27,M,Central,4,78,0.05,3,,
phone,44,2/22/2013 10:27,M,Central,1,32,0.82,2,,
phone,62,2/22/2013 10:27,F,South,0,86,0.01,7,,
phone,77,2/22/2013 10:27,M,North,0,51,0.01,4,,
fiber,49,2/23/2013 10:27,M,South,1,63,0.86,2,,
4G,30,2/23/2013 10:27,M,Central,4,104,0.03,6,,
phone,21,2/23/2013 10:27,F,North,1,104,0.01,9,,
phone,47,2/23/2013 10:27,F,Central,0,98,0.00,7,,
4G,23,2/24/2013 10:27,M,Central,2,49,0.07,4,,
4G,69,2/24/2013 10:27,F,Central,1,39,0.05,7,,
phone,46,2/24/2013 10:27,M,Central,7,83,0.03,6,,
fiber,75,2/24/2013 10:27,F,Central,0,42,0.03,3,,
phone,48,2/24/2013 10:27,M,North,2,37,0.03,7,,
phone,62,2/24/2013 10:27,F,Central,5,102,0.02,4,,
phone,37,2/24/2013 10:27,F,South,3,66,0.02,5,,
4G,80,2/24/2013 10:27,M,Central,1,69,0.02,7,,
phone,45,2/25/2013 10:27,F,North,2,44,0.10,7,,
4G,47,2/25/2013 10:27,F,Central,8,105,0.05,8,,
phone,18,2/25/2013 10:27,F,South,3,46,0.03,8,,
4G,21,2/25/2013 10:27,F,South,2,75,0.02,3,,
phone,76,2/26/2013 10:27,M,Central,1,34,0.03,5,,
landline,37,2/26/2013 10:27,F,Central,1,53,0.01,4,,
landline,68,2/26/2013 10:27,F,Central,0,68,0.10,3,,
4G,74,2/27/2013 10:27,M,North,2,59,0.30,3,,
4G,30,2/27/2013 10:27,F,Central,1,69,0.20,3,,
landline,58,2/27/2013 10:27,F,Central,0,103,0.00,5,,
phone,69,2/28/2013 10:27,F,South,8,66,0.16,6,,
landline,18,2/28/2013 10:27,F,Central,6,64,0.02,7,,
4G,45,2/28/2013 10:27,F,Central,0,51,0.01,9,,
landline,18,2/28/2013 10:27,F,Central,3,92,0.01,9,,
phone,47,3/1/2013 10:27,F,Central,3,89,0.09,6,,
4G,27,3/1/2013 10:27,F,South,2,50,0.08,3,,
4G,43,3/1/2013 10:27,M,Central,4,107,0.30,3,,
phone,32,3/1/2013 10:27,F,Central,1,74,0.01,6,,
landline,80,3/1/2013 10:27,F,Central,0,105,0.00,6,,
fiber,45,3/2/2013 10:27,M,Central,6,48,0.23,8,,
phone,45,3/2/2013 10:27,F,South,5,35,0.06,8,,
phone,31,3/2/2013 10:27,M,Central,6,45,0.06,6,,
phone,58,3/2/2013 10:27,M,North,5,47,0.50,2,,
4G,44,3/2/2013 10:27,F,Central,5,70,0.05,8,,
phone,56,3/2/2013 10:27,F,South,0,42,0.02,5,,
phone,45,3/2/2013 10:27,F,Central,1,59,0.01,8,,
4G,39,3/2/2013 10:27,M,Central,0,55,0.01,8,,
4G,29,3/2/2013 10:27,F,South,0,59,0.01,3,,
4G,53,3/2/2013 10:27,F,Central,0,100,0.01,5,,
phone,65,3/3/2013 10:27,F,South,5,112,0.16,7,,
4G,42,3/3/2013 10:27,F,Central,0,60,0.03,8,,
4G,24,3/3/2013 10:27,M,North,0,38,0.01,7,,
phone,62,3/3/2013 10:27,M,South,1,66,0.01,3,,
phone,49,3/3/2013 10:27,F,Central,1,77,0.01,4,,
fiber,78,3/4/2013 10:27,M,Central,2,49,0.04,3,,
4G,68,3/4/2013 10:27,M,Central,2,85,0.02,2,,
fiber,73,3/4/2013 10:27,M,Central,0,39,0.02,8,,
4G,58,3/4/2013 10:27,M,Central,1,70,0.02,7,,
landline,24,3/4/2013 10:27,M,Central,0,46,0.00,5,,
phone,69,3/4/2013 10:27,F,Central,0,85,0.00,8,,
fiber,64,3/5/2013 10:27,M,North,10,92,0.34,1,,
phone,35,3/5/2013 10:27,F,Central,1,51,0.01,3,,
4G,69,3/5/2013 10:27,M,Central,0,82,0.01,4,,
phone,29,3/5/2013 10:27,F,Central,0,69,0.01,8,,
phone,59,3/5/2013 10:27,F,Central,0,72,0.01,4,,
4G,63,3/6/2013 10:27,M,Central,8,35,0.24,5,,
4G,32,3/6/2013 10:27,M,South,8,51,0.09,6,,
4G,43,3/6/2013 10:27,M,Central,4,87,0.03,8,,
fiber,33,3/6/2013 10:27,F,Central,1,50,0.03,9,,
phone,46,3/6/2013 10:27,M,Central,5,87,0.66,2,,
4G,37,3/6/2013 10:27,M,North,1,69,0.02,7,,
phone,70,3/6/2013 10:27,M,North,2,89,0.01,7,,
4G,62,3/6/2013 10:27,M,Central,1,95,0.01,3,,
4G,58,3/6/2013 10:27,F,Central,0,63,0.01,9,,
fiber,18,3/6/2013 10:27,M,Central,0,83,0.01,5,,
4G,23,3/6/2013 10:27,F,Central,0,110,0.01,6,,
4G,27,3/7/2013 10:27,F,Central,9,68,0.48,5,,
fiber,73,3/7/2013 10:27,F,North,2,97,0.02,5,,
4G,74,3/7/2013 10:27,M,Central,1,109,0.01,5,,
landline,47,3/7/2013 10:27,M,North,0,54,0.00,8,,
landline,37,3/7/2013 10:27,M,Central,0,83,0.00,4,,
4G,75,3/8/2013 10:27,M,Central,7,32,0.13,6,,
4G,34,3/8/2013 10:27,M,North,9,84,0.06,7,,
4G,71,3/8/2013 10:27,F,North,3,42,0.05,7,,
4G,44,3/8/2013 10:27,M,Central,0,77,0.05,3,,
phone,78,3/8/2013 10:27,M,South,6,64,0.04,9,,
landline,79,3/8/2013 10:27,M,Central,1,75,0.02,7,,
4G,68,3/8/2013 10:27,M,South,0,37,0.44,2,,
4G,38,3/8/2013 10:27,M,South,1,80,0.01,3,,
landline,78,3/8/2013 10:27,M,North,4,106,0.01,7,,
phone,39,3/9/2013 10:27,M,Central,1,99,0.01,8,,
phone,45,3/9/2013 10:27,F,North,0,71,0.01,10,,
fiber,64,3/10/2013 11:27,M,Central,4,73,0.05,8,,
4G,55,3/10/2013 11:27,M,Central,4,56,0.05,7,,
fiber,64,3/10/2013 11:27,M,Central,0,54,0.01,7,,
landline,46,3/10/2013 11:27,F,Central,0,82,0.00,8,,
landline,61,3/11/2013 11:27,F,Central,9,70,0.16,9,,
4G,68,3/11/2013 11:27,F,South,1,48,0.10,8,,
4G,47,3/11/2013 11:27,F,South,1,73,0.91,2,,
phone,31,3/11/2013 11:27,M,North,1,64,0.01,6,,
4G,37,3/12/2013 11:27,F,North,4,100,0.03,4,,
4G,52,3/12/2013 11:27,F,Central,1,52,0.02,4,,
landline,52,3/12/2013 11:27,M,Central,2,45,0.01,8,,
4G,59,3/13/2013 11:27,F,South,1,46,0.02,4,,
landline,39,3/13/2013 11:27,M,North,7,68,0.02,4,,
phone,55,3/13/2013 11:27,F,Central,1,42,0.02,4,,
landline,20,3/13/2013 11:27,M,Central,1,58,0.01,4,,
landline,33,3/13/2013 11:27,F,South,1,108,0.00,8,,
phone,73,3/14/2013 11:27,F,North,3,55,0.09,7,,
landline,58,3/14/2013 11:27,F,North,3,119,0.03,4,,
4G,35,3/15/2013 11:27,F,Central,4,36,0.07,5,,
phone,51,3/15/2013 11:27,F,South,1,34,0.02,4,,
phone,20,3/15/2013 11:27,F,South,2,75,0.66,2,,
4G,49,3/15/2013 11:27,F,Central,1,89,0.01,6,,
4G,40,3/15/2013 11:27,M,South,1,108,0.01,5,,
4G,37,3/15/2013 11:27,M,Central,0,92,0.01,3,,
fiber,26,3/16/2013 11:27,F,South,1,91,0.02,8,,
4G,27,3/16/2013 11:27,M,South,0,91,0.01,7,,
landline,44,3/16/2013 11:27,M,South,0,44,0.00,7,,
fiber,48,3/17/2013 11:27,F,Central,0,31,0.02,8,,
4G,21,3/17/2013 11:27,M,Central,1,52,0.02,5,,
landline,36,3/17/2013 11:27,M,South,7,73,0.02,5,,
4G,61,3/17/2013 11:27,F,North,1,67,0.02,9,,
landline,56,3/17/2013 11:27,F,South,2,55,0.01,6,,
phone,65,3/17/2013 11:27,M,Central,0,105,0.00,2,,
phone,48,3/18/2013 11:27,F,North,2,106,0.01,7,,
landline,51,3/18/2013 11:27,F,Central,1,88,0.00,5,,
fiber,29,3/19/2013 11:27,F,South,2,55,0.15,6,,
fiber,40,3/19/2013 11:27,M,Central,0,33,0.02,6,,
landline,52,3/19/2013 11:27,F,Central,4,47,0.02,8,,
phone,61,3/19/2013 11:27,M,Central,0,86,0.01,6,,
phone,29,3/19/2013 11:27,M,Central,1,88,0.01,8,,
landline,72,3/19/2013 11:27,F,South,0,47,0.01,4,,
4G,34,3/19/2013 11:27,M,Central,0,99,0.01,7,,
landline,58,3/19/2013 11:27,M,North,0,89,0.00,5,,
phone,52,3/20/2013 11:27,M,North,10,38,0.10,6,,
phone,56,3/20/2013 11:27,F,Central,1,35,0.04,10,,
phone,32,3/20/2013 11:27,M,Central,1,53,0.90,2,,
landline,30,3/20/2013 11:27,M,South,0,60,0.70,2,,
phone,54,3/21/2013 11:27,M,North,7,61,0.05,4,,
phone,39,3/21/2013 11:27,M,Central,1,36,0.02,3,,
phone,54,3/21/2013 11:27,F,Central,0,38,0.01,7,,
4G,37,3/22/2013 11:27,M,North,7,33,0.13,7,,
fiber,65,3/22/2013 11:27,M,North,0,63,0.02,4,,
4G,46,3/22/2013 11:27,F,North,1,98,0.01,6,,
phone,29,3/22/2013 11:27,M,North,1,69,0.01,7,,
phone,48,3/22/2013 11:27,M,Central,1,72,0.01,6,,
landline,21,3/22/2013 11:27,M,Central,0,74,0.00,4,,
4G,68,3/23/2013 11:27,M,South,8,75,0.06,7,,
4G,24,3/23/2013 11:27,F,Central,8,85,0.06,6,,
4G,42,3/23/2013 11:27,M,Central,1,78,0.65,2,,
phone,57,3/23/2013 11:27,M,Central,1,107,0.05,6,,
4G,21,3/23/2013 11:27,F,Central,2,62,0.03,6,,
4G,49,3/23/2013 11:27,F,North,1,43,0.02,6,,
landline,54,3/23/2013 11:27,F,Central,5,60,0.02,4,,
landline,29,3/23/2013 11:27,M,Central,0,87,0.01,8,,
phone,72,3/23/2013 11:27,M,Central,0,58,0.61,2,,
landline,58,3/23/2013 11:27,F,North,1,85,0.00,8,,
landline,23,3/23/2013 11:27,M,North,0,108,0.00,7,,
fiber,37,3/24/2013 11:27,M,Central,7,59,0.09,3,,
landline,46,3/24/2013 11:27,M,North,5,32,0.03,4,,
phone,49,3/24/2013 11:27,F,South,1,109,0.71,2,,
landline,51,3/24/2013 11:27,M,South,0,62,0.00,8,,
4G,38,3/25/2013 11:27,M,Central,2,106,0.05,3,,
4G,62,3/25/2013 11:27,M,Central,1,52,0.02,5,,
phone,32,3/25/2013 11:27,F,North,0,64,0.02,9,,
landline,30,3/25/2013 11:27,M,North,5,88,0.81,2,,
phone,44,3/25/2013 11:27,M,Central,0,37,0.01,4,,
4G,41,3/25/2013 11:27,M,Central,0,82,0.01,3,,
landline,75,3/25/2013 11:27,M,Central,0,86,0.00,3,,
fiber,49,3/26/2013 11:27,F,North,1,37,0.04,5,,
fiber,77,3/26/2013 11:27,M,North,0,47,0.02,8,,
phone,75,3/26/2013 11:27,M,Central,1,91,0.01,6,,
4G,70,3/26/2013 11:27,M,Central,0,77,0.01,6,,
landline,63,3/26/2013 11:27,F,Central,0,99,0.00,7,,
fiber,54,3/27/2013 11:27,M,North,2,99,0.10,8,,
fiber,35,3/27/2013 11:27,M,Central,1,61,0.02,9,,
phone,28,3/27/2013 11:27,M,Central,3,82,0.02,5,,
4G,79,3/27/2013 11:27,F,South,1,105,0.01,7,,
4G,35,3/28/2013 11:27,M,Central,2,103,0.10,3,,
fiber,62,3/28/2013 11:27,M,Central,1,63,0.02,8,,
landline,30,3/28/2013 11:27,F,Central,1,79,0.00,6,,
phone,70,3/28/2013 11:27,F,Central,0,93,0.00,3,,
phone,49,3/28/2013 11:27,M,Central,0,109,0.00,6,,
phone,38,3/29/2013 11:27,F,Central,0,48,0.01,4,,
landline,52,3/29/2013 11:27,F,South,0,37,0.01,8,,
landline,29,3/29/2013 11:27,F,Central,0,93,0.00,5,,
4G,47,3/30/2013 11:27,M,North,2,52,0.03,3,,
landline,25,3/30/2013 11:27,F,Central,4,33,0.03,5,,
landline,69,3/30/2013 11:27,M,Central,1,87,0.01,5,,
4G,51,3/30/2013 11:27,M,North,1,85,0.01,4,,
fiber,73,3/30/2013 11:27,F,Central,0,62,0.01,6,,
4G,31,3/31/2013 10:27,M,Central,2,49,0.03,4,,
4G,51,3/31/2013 10:27,F,North,1,48,0.02,9,,
phone,34,3/31/2013 10:27,M,Central,2,71,0.01,4,,
phone,56,3/31/2013 10:27,M,North,1,100,0.01,7,,
phone,65,3/31/2013 10:27,M,North,1,105,0.01,4,,
4G,51,3/31/2013 10:27,F,Central,0,72,0.01,5,,
4G,43,3/31/2013 10:27,M,South,0,96,0.01,7,,
landline,29,3/31/2013 10:27,M,Central,0,53,0.00,4,,
phone,63,4/1/2013 10:27,F,Central,3,57,0.07,8,,
fiber,62,4/1/2013 10:27,F,South,1,54,0.03,5,,
4G,35,4/1/2013 10:27,M,South,2,72,0.02,6,,
phone,54,4/1/2013 10:27,F,North,2,51,0.02,5,,
landline,30,4/1/2013 10:27,M,North,4,81,0.01,7,,
4G,71,4/1/2013 10:27,F,Central,1,107,0.01,5,,
phone,42,4/2/2013 10:27,M,Central,9,34,0.10,8,,
4G,49,4/2/2013 10:27,M,Central,9,60,0.09,7,,
4G,40,4/2/2013 10:27,M,South,2,38,0.04,8,,
fiber,60,4/2/2013 10:27,F,North,2,57,0.04,6,,
phone,34,4/2/2013 10:27,F,Central,5,58,0.04,7,,
fiber,61,4/2/2013 10:27,M,North,0,37,0.02,4,,
landline,51,4/2/2013 10:27,F,Central,2,40,0.01,5,,
4G,71,4/3/2013 10:27,F,South,2,47,0.03,7,,
phone,29,4/3/2013 10:27,F,North,1,38,0.02,8,,
4G,42,4/3/2013 10:27,F,North,1,60,0.02,5,,
fiber,44,4/3/2013 10:27,F,South,0,63,0.01,6,,
fiber,28,4/3/2013 10:27,F,North,0,76,0.01,5,,
phone,53,4/3/2013 10:27,F,Central,0,44,0.01,9,,
phone,59,4/4/2013 10:27,M,Central,0,83,0.02,4,,
